, 4th of(event, time)
, follow by(drug, drug)
, follow by(effect, complication)
, follow by(effect, effect)
, follow by(food, food)
, follow by(fruit, fruit)
, follow by(gas, gas)
, follow by(place, city)
, follow by(place, country)
, follow by(place, state)
, follow by(process, process)
, follow by(state, city)
, follow by(state, place)
, follow by(state, state)
, follow by(treatment, treatment)
, follow by(vegetable, vegetable)
, found by(organization, publication)
, fund by(country, agency)
, grow in(fruit, country)
, headquarter in(agency, city)
, headquarter in(company, area)
, headquarter in(company, city)
, headquarter in(company, community)
, headquarter in(company, country)
, headquarter in(company, place)
, headquarter in(company, state)
, headquarter in(company, town)
, headquarter in(corporation, city)
, headquarter in(employer, city)
, headquarter in(firm, place)
, headquarter in(leader, city)
, headquarter in(leader, place)
, headquarter in(leader, town)
, headquarter in(manufacturer, city)
, headquarter in(member, city)
, headquarter in(organization, area)
, headquarter in(organization, city)
, headquarter in(organization, community)
, headquarter in(organization, place)
, headquarter in(organization, state)
, headquarter in(provider, area)
, headquarter in(provider, city)
, headquarter in(provider, place)
, headquarter in(provider, town)
, headquarter in(tool, city)
, hold in(event, city)
, hold in(event, time)
, host by(state, organization)
, import from(material, country)
, isoniazid for(drug, disease)
, know as(acid, acid)
, know as(activity, sport)
, know as(agency, agency)
, know as(agent, drug)
, know as(art, art)
, know as(cause, disease)
, know as(city, city)
, know as(city, institution)
, know as(city, place)
, know as(city, system)
, know as(city, town)
, know as(company, company)
, know as(country, country)
, know as(country, destination)
, know as(crop, crop)
, know as(crop, food)
, know as(crop, plant)
, know as(crop, vegetable)
, know as(directory, directory)
, know as(disease, cause)
, know as(disease, complication)
, know as(disease, development)
, know as(disease, disease)
, know as(disease, disorder)
, know as(disease, effect)
, know as(disease, factor)
, know as(disease, illness)
, know as(disease, infection)
, know as(disease, risk)
, know as(disorder, disease)
, know as(disorder, disorder)
, know as(disorder, effect)
, know as(disorder, illness)
, know as(drug, agent)
, know as(drug, drug)
, know as(drug, hormone)
, know as(drug, inhibitor)
, know as(drug, medication)
, know as(drug, treatment)
, know as(drug, use)
, know as(effect, effect)
, know as(factor, disease)
, know as(factor, disorder)
, know as(factor, factor)
, know as(fish, fish)
, know as(fruit, fruit)
, know as(game, game)
, know as(herb, herb)
, know as(herb, ingredient)
, know as(herb, member)
, know as(herb, plant)
, know as(herb, source)
, know as(hormone, drug)
, know as(hormone, hormone)
, know as(hotel, city)
, know as(illness, disease)
, know as(illness, disorder)
, know as(illness, illness)
, know as(illness, infection)
, know as(infection, disease)
, know as(infection, illness)
, know as(infection, infection)
, know as(infection, material)
, know as(ingredient, herb)
, know as(ingredient, ingredient)
, know as(ingredient, plant)
, know as(inhibitor, drug)
, know as(inhibitor, inhibitor)
, know as(inhibitor, medication)
, know as(island, island)
, know as(material, material)
, know as(medication, drug)
, know as(medication, inhibitor)
, know as(medication, medication)
, know as(member, herb)
, know as(member, plant)
, know as(member, vitamin)
, know as(mineral, mineral)
, know as(nutrient, nutrient)
, know as(nutrient, vitamin)
, know as(organization, organization)
, know as(plant, crop)
, know as(plant, drug)
, know as(plant, herb)
, know as(plant, member)
, know as(plant, plant)
, know as(plant, source)
, know as(plant, vegetable)
, know as(procedure, procedure)
, know as(procedure, treatment)
, know as(process, disease)
, know as(process, process)
, know as(protein, protein)
, know as(provider, provider)
, know as(risk, disease)
, know as(service, service)
, know as(source, source)
, know as(source, vitamin)
, know as(sport, sport)
, know as(state, area)
, know as(state, place)
, know as(system, system)
, know as(technology, technology)
, know as(time, time)
, know as(treatment, procedure)
, know as(treatment, treatment)
, know as(tree, tree)
, know as(use, drug)
, know as(vegetable, vegetable)
, know as(vitamin, member)
, know as(vitamin, mineral)
, know as(vitamin, nutrient)
, know as(vitamin, source)
, know as(vitamin, substance)
, know as(vitamin, vitamin)
, know generically as(drug, drug)
, know generically as(drug, inhibitor)
, know generically as(inhibitor, drug)
, know generically as(inhibitor, inhibitor)
, know generically as(medication, drug)
, know generically as(medication, inhibitor)
, know in(game, country)
, know in(sport, country)
, license to(country, company)
, locate in(agency, area)
, locate in(agency, city)
, locate in(agency, place)
, locate in(area, city)
, locate in(area, place)
, locate in(area, state)
, locate in(attraction, city)
, locate in(center, city)
, locate in(center, place)
, locate in(city, area)
, locate in(city, country)
, locate in(city, place)
, locate in(city, state)
, locate in(community, city)
, locate in(community, state)
, locate in(company, area)
, locate in(company, city)
, locate in(company, community)
, locate in(company, place)
, locate in(company, state)
, locate in(company, town)
, locate in(country, area)
, locate in(country, city)
, locate in(country, region)
, locate in(employer, city)
, locate in(employer, place)
, locate in(employer, town)
, locate in(facility, city)
, locate in(firm, area)
, locate in(firm, place)
, locate in(firm, state)
, locate in(hotel, city)
, locate in(hotel, place)
, locate in(institution, area)
, locate in(institution, city)
, locate in(institution, place)
, locate in(institution, town)
, locate in(leader, city)
, locate in(manufacturer, city)
, locate in(member, area)
, locate in(member, city)
, locate in(member, place)
, locate in(organization, area)
, locate in(organization, city)
, locate in(organization, community)
, locate in(organization, place)
, locate in(organization, state)
, locate in(organization, town)
, locate in(place, area)
, locate in(place, city)
, locate in(place, country)
, locate in(place, place)
, locate in(place, state)
, locate in(provider, city)
, locate in(school, area)
, locate in(school, city)
, locate in(school, community)
, locate in(school, place)
, locate in(school, town)
, locate in(site, country)
, locate in(state, area)
, locate in(state, place)
, locate in(town, state)
, locate in(university, city)
, locate in(university, place)
, locate in(university, town)
, make by(drug, company)
, make by(drug, leader)
, make by(inhibitor, company)
, make by(medication, company)
, make by(medication, leader)
, make by(product, company)
, make in(company, country)
, make in(material, country)
, make in(metal, country)
, make in(product, country)
, make in(state, country)
, manufacture by(drug, company)
, manufacture by(drug, leader)
, manufacture by(inhibitor, company)
, manufacture by(medication, company)
, manufacture by(medication, leader)
, manufacture by(product, company)
, market by(drug, company)
, mundane in(food, country)
, native to(bird, country)
, native to(herb, country)
, native to(plant, country)
, naturalize in(herb, country)
, own by(browser, provider)
, own by(browser, service)
, own by(company, company)
, own by(country, company)
, own by(publication, company)
, own by(state, company)
, popularize by(technology, company)
, prescribe for(drug, disease)
, publish by(service, site)
, refer to as(disease, disease)
, refer to as(disorder, disease)
, refer to as(infection, infection)
, refer to as(procedure, procedure)
, renown throughout(fish, country)
, repeat at(infection, time)
, season with(food, herb)
, short for(disease, disease)
, similar to(disease, disease)
, similar to(drug, drug)
, sleepless in(film, city)
, sponsor by(event, organization)
, sponsor by(state, organization)
, take with(vitamin, mineral)
, top with(food, food)
, top with(food, ingredient)
, top with(food, vegetable)
, travel across(state, state)
, west to(country, state)
: know as(disease, disease)
: know as(herb, herb)
; affiliate with(state, team)
; raise in(country, city)
_ bear in(artist, country)
_ know as(disease, disease)
_ know as(drug, drug)
_ know as(procedure, procedure)
__ know as(disease, disease)
abandon(city, country)
abolish(country, institution)
abolish(country, practice)
abolish(state, institution)
accede to(country, body)
accede to(country, institution)
accede to(country, organisation)
accede to(country, organization)
accede to(country, tool)
accept(card, card)
accept(card, service)
accept(company, card)
accept(company, company)
accept(company, service)
accept(country, card)
accept(member, card)
accept(process, card)
accept(protein, gas)
accept(service, card)
accept(service, company)
accept(service, service)
accept(system, card)
accept through(card, company)
accept through(card, service)
accept through(card, system)
accompany(disease, disease)
accompany(disorder, disease)
accompany(disorder, disorder)
accuse(organization, country)
ache for(state, dish)
acquire(client, company)
acquire(company, application)
acquire(company, client)
acquire(company, company)
acquire(company, corporation)
acquire(company, engine)
acquire(company, leader)
acquire(company, manufacturer)
acquire(company, member)
acquire(company, organization)
acquire(company, place)
acquire(company, product)
acquire(company, provider)
acquire(company, service)
acquire(company, site)
acquire(company, solution)
acquire(company, system)
acquire(company, tool)
acquire(corporation, company)
acquire(country, area)
acquire(country, island)
acquire(country, place)
acquire(country, region)
acquire(country, state)
acquire(engine, application)
acquire(engine, company)
acquire(engine, engine)
acquire(engine, place)
acquire(engine, product)
acquire(engine, provider)
acquire(engine, service)
acquire(engine, site)
acquire(engine, tool)
acquire(leader, company)
acquire(leader, leader)
acquire(manufacturer, company)
acquire(manufacturer, manufacturer)
acquire(organization, company)
acquire(player, company)
acquire(provider, browser)
acquire(provider, company)
acquire(provider, provider)
acquire(service, browser)
acquire(service, company)
acquire(site, service)
add(company, technology)
add(food, food)
add(food, vegetable)
add(ingredient, food)
add(ingredient, vegetable)
add(vegetable, food)
add(vegetable, vegetable)
add for(plant, product)
address(leader, organization)
address(man, organization)
admit(browser, browser)
admit(city, country)
admit(organization, country)
admit to(area, state)
admit to(city, place)
admit to(city, state)
admit to(country, organization)
admit to(place, state)
adopt(engine, directory)
advise(agency, member)
affect(disease, animal)
affect(disease, area)
affect(disease, crop)
affect(disease, food)
affect(disease, fruit)
affect(disease, organ)
affect(disease, time)
affect(disease, vegetable)
affect(drug, factor)
affect(factor, factor)
affect(factor, organ)
affect(factor, process)
affect(factor, time)
affect(hormone, factor)
affect(infection, animal)
agree with(organization, organization)
aim(country, industry)
air(village, time)
allege that(agency, company)
allow(book, practice)
allow(country, institution)
allow(state, event)
allow(state, institution)
allow(state, state)
ally with(country, country)
annex(country, area)
annex(country, country)
annex(country, island)
annex(country, member)
annex(country, place)
annex(country, region)
annex(country, state)
announce(agency, disease)
announce(company, application)
announce(company, browser)
announce(company, company)
announce(company, device)
announce(company, game)
announce(company, leader)
announce(company, platform)
announce(company, product)
announce(company, system)
announce(company, technology)
announce(engine, application)
announce(engine, service)
announce(engine, tool)
announce(fruit, player)
announce(fruit, product)
announce(fruit, system)
announce in(agency, time)
announce in(city, time)
announce in(company, country)
announce in(company, time)
announce in(country, time)
announce in(fruit, time)
announce in(institution, time)
announce in(leader, time)
announce in(manufacturer, country)
announce in(member, time)
announce in(organization, city)
announce in(organization, time)
announce in(place, time)
announce in(service, time)
announce in(state, time)
announce in(village, time)
announce that(agency, country)
announce that(agency, disease)
announce that(city, country)
announce that(company, agency)
announce that(company, company)
announce that(company, drug)
announce that(leader, country)
announce that(man, country)
appear during(disease, time)
appear during(disorder, time)
appear in(disease, area)
appear in(disease, city)
appear in(disease, country)
appear in(disease, place)
appear in(disease, state)
appear in(disease, time)
appear in(disorder, time)
appear in(drug, food)
appear in(drug, source)
appear in(game, country)
appear in(illness, country)
appear in(medication, food)
appear in(medication, source)
appear in(product, source)
appear in(village, source)
appear in(village, time)
approach(country, leader)
approach(country, member)
approve(agency, device)
approve(agency, drug)
approve(agency, medication)
approve(country, institution)
approve(provider, food)
approve(service, equipment)
approve(state, product)
argue that(company, drug)
argue that(company, medication)
arrive(state, city)
arrive at(city, city)
arrive at(state, city)
arrive at(town, city)
arrive in(animal, country)
arrive in(artist, city)
arrive in(artist, country)
arrive in(artist, place)
arrive in(band, city)
arrive in(book, country)
arrive in(city, city)
arrive in(city, country)
arrive in(city, place)
arrive in(company, city)
arrive in(country, city)
arrive in(country, country)
arrive in(country, destination)
arrive in(country, place)
arrive in(disease, country)
arrive in(disease, state)
arrive in(drug, country)
arrive in(film, country)
arrive in(food, country)
arrive in(game, country)
arrive in(graduate, country)
arrive in(island, country)
arrive in(leader, city)
arrive in(leader, country)
arrive in(leader, place)
arrive in(man, city)
arrive in(man, country)
arrive in(man, place)
arrive in(man, state)
arrive in(member, city)
arrive in(member, country)
arrive in(member, place)
arrive in(place, city)
arrive in(place, country)
arrive in(player, city)
arrive in(player, country)
arrive in(state, city)
arrive in(system, city)
arrive in(system, country)
arrive in(team, state)
arrive in(time, country)
arrive in(tool, city)
arrive in(town, city)
arrive in(town, country)
arrive in(vegetable, country)
arrive in(work, city)
ask(agency, company)
ask(area, place)
ask(country, country)
ask(graduate, member)
ask(member, graduate)
ask(member, man)
ask(member, member)
ask(site, place)
assist(procedure, procedure)
assure(country, country)
attack(city, city)
attack(country, activity)
attack(country, area)
attack(country, city)
attack(country, country)
attack(country, destination)
attack(country, event)
attack(country, facility)
attack(country, film)
attack(country, island)
attack(country, piece)
attack(country, place)
attack(country, region)
attack(country, site)
attack(country, source)
attack(country, state)
attack(country, study)
attack(country, work)
attack(leader, country)
attack(man, country)
attack(organization, country)
attack(place, country)
attack(state, country)
attack(state, state)
attend(disease, city)
attend(man, university)
attend(member, employer)
attend(member, institution)
attend(member, school)
attend(member, university)
attend(state, institution)
attend(state, university)
attend university of(graduate, state)
attend university of(member, state)
await in(industry, state)
award(agency, company)
award(agency, corporation)
award(agency, organization)
award(company, company)
award(organization, company)
award(organization, member)
ban(country, factor)
ban(country, food)
ban(country, game)
ban(country, material)
ban(country, practice)
ban(country, procedure)
ban(country, product)
ban(country, source)
ban(state, institution)
ban in(site, country)
base(city, service)
base(material, material)
base in(organization, country)
be a district of(area, city)
be a man of(device, process)
be a member of(member, organization)
be a part of(place, country)
be a part of(product, book)
be a part of(state, country)
be a part of(state, state)
be a source of(herb, nutrient)
be a source of(herb, vitamin)
be abolish in(institution, country)
be abolish in(time, country)
be abundant in(herb, country)
be accept(card, card)
be accept(organization, device)
be accept in(card, country)
be accept through(card, service)
be accompany by(disease, disease)
be accompany by(disorder, disorder)
be accompany by(factor, effect)
be accredit by(institution, agency)
be accredit by(institution, organization)
be accredit by(member, body)
be accredit by(member, organization)
be accredit by(organization, organization)
be acquire(company, company)
be acquire by(company, company)
be active in(country, organization)
be active in(organization, country)
be add to(agent, product)
be add to(food, food)
be add to(fruit, food)
be add to(metal, material)
be add to(metal, metal)
be add to(nutrient, food)
be add to(nutrient, product)
be add to(product, food)
be add to(treatment, treatment)
be add to(vitamin, food)
be add to(vitamin, product)
be add to(vitamin, source)
be addictive than(drug, drug)
be administer by(organization, organization)
be administer by(organization, service)
be admit into(country, institution)
be admit into(country, organization)
be admit to(country, agency)
be admit to(country, body)
be admit to(country, institution)
be admit to(country, organisation)
be admit to(country, organization)
be admit to(state, country)
be affect(disease, country)
be affect by(factor, factor)
be affected than(animal, animal)
be affiliate with(member, organization)
be affiliate with(organization, organization)
be alloy with(metal, metal)
be ally of(country, country)
be ally with(country, country)
be ally with(country, place)
be also(time, time)
be amember of(country, organization)
be anesthetize with(animal, drug)
be anesthetize with(site, drug)
be annex by(city, country)
be annex by(country, country)
be annex by(place, country)
be annex by(state, country)
be annex to(city, country)
be annex to(place, country)
be annex to(state, country)
be another form of(disease, disease)
be another form of(state, state)
be approve by(drug, agency)
be approve by(medication, agency)
be approve for(drug, disorder)
be approve in(drug, country)
be archive in(magazine, place)
be arrest in(city, country)
be arrest in(man, country)
be art of(art, art)
be as addictive as(drug, drug)
be assassinate in(leader, city)
be assassinate in(leader, place)
be assign to(state, city)
be associate with(agent, effect)
be associate with(cause, cause)
be associate with(cause, complication)
be associate with(cause, disease)
be associate with(cause, disorder)
be associate with(cause, effect)
be associate with(cause, factor)
be associate with(cause, risk)
be associate with(complication, complication)
be associate with(complication, disease)
be associate with(complication, disorder)
be associate with(complication, effect)
be associate with(complication, factor)
be associate with(disease, cause)
be associate with(disease, complication)
be associate with(disease, disease)
be associate with(disease, disorder)
be associate with(disease, effect)
be associate with(disease, factor)
be associate with(disease, illness)
be associate with(disease, infection)
be associate with(disease, organ)
be associate with(disease, process)
be associate with(disease, risk)
be associate with(disease, time)
be associate with(disorder, cause)
be associate with(disorder, complication)
be associate with(disorder, disease)
be associate with(disorder, disorder)
be associate with(disorder, effect)
be associate with(disorder, factor)
be associate with(disorder, illness)
be associate with(disorder, risk)
be associate with(drug, effect)
be associate with(effect, disease)
be associate with(effect, disorder)
be associate with(effect, effect)
be associate with(effect, factor)
be associate with(effect, illness)
be associate with(factor, cause)
be associate with(factor, complication)
be associate with(factor, disease)
be associate with(factor, disorder)
be associate with(factor, effect)
be associate with(factor, factor)
be associate with(factor, hormone)
be associate with(factor, illness)
be associate with(factor, infection)
be associate with(factor, measure)
be associate with(factor, process)
be associate with(factor, risk)
be associate with(hormone, factor)
be associate with(illness, disease)
be associate with(illness, disorder)
be associate with(illness, effect)
be associate with(illness, factor)
be associate with(infection, disease)
be associate with(infection, factor)
be associate with(infection, infection)
be associate with(medication, effect)
be associate with(mineral, mineral)
be associate with(process, disease)
be associate with(process, factor)
be associate with(protein, factor)
be associate with(risk, disease)
be associate with(risk, disorder)
be associate with(risk, factor)
be associate with(time, effect)
be associate with(time, factor)
be associate with(treatment, effect)
be associate with(tree, tree)
be author of(writer, author)
be available across(service, country)
be available as(drug, infection)
be available as(medication, infection)
be available at(activity, place)
be available for(application, platform)
be available for(application, system)
be available for(browser, platform)
be available for(browser, system)
be available for(game, system)
be available for(product, system)
be available for(solution, system)
be available for(system, system)
be available for(tool, platform)
be available for(tool, system)
be available for(utility, system)
be available from(agent, city)
be available in(agent, country)
be available in(drug, area)
be available in(drug, city)
be available in(drug, country)
be available in(drug, place)
be available in(drug, state)
be available in(fish, country)
be available in(food, country)
be available in(medication, country)
be available in(plant, state)
be available in(product, country)
be available in(service, area)
be available in(service, city)
be available in(service, country)
be available in(service, place)
be available in(vitamin, fruit)
be available only within(service, country)
be available through(service, service)
be available throughout(drug, state)
be back in(disease, state)
be back to(medication, factor)
be bake into(product, food)
be bake with(food, food)
be ban in(activity, country)
be ban in(book, country)
be ban in(drug, country)
be ban in(factor, country)
be ban in(game, country)
be ban in(herb, country)
be ban in(hormone, country)
be ban in(organisation, country)
be ban in(organization, country)
be ban in(plant, country)
be ban in(procedure, country)
be ban in(product, country)
be ban in(service, country)
be ban in(site, country)
be ban in(source, country)
be ban in(sport, state)
be ban in(substance, country)
be base in(agency, city)
be base in(agency, place)
be base in(artist, city)
be base in(band, country)
be base in(body, city)
be base in(center, city)
be base in(client, city)
be base in(community, city)
be base in(company, area)
be base in(company, center)
be base in(company, city)
be base in(company, community)
be base in(company, country)
be base in(company, destination)
be base in(company, location)
be base in(company, place)
be base in(company, state)
be base in(company, town)
be base in(company, university)
be base in(corporation, area)
be base in(corporation, city)
be base in(corporation, place)
be base in(distributor, city)
be base in(drug, country)
be base in(employer, city)
be base in(engine, city)
be base in(engine, place)
be base in(firm, area)
be base in(firm, place)
be base in(firm, state)
be base in(game, city)
be base in(graduate, city)
be base in(institution, city)
be base in(leader, area)
be base in(leader, city)
be base in(leader, community)
be base in(leader, country)
be base in(leader, place)
be base in(leader, state)
be base in(leader, town)
be base in(magazine, city)
be base in(manufacturer, area)
be base in(manufacturer, city)
be base in(manufacturer, community)
be base in(manufacturer, country)
be base in(manufacturer, place)
be base in(manufacturer, state)
be base in(member, area)
be base in(member, city)
be base in(member, country)
be base in(member, place)
be base in(member, state)
be base in(member, town)
be base in(organisation, city)
be base in(organisation, country)
be base in(organisation, place)
be base in(organization, area)
be base in(organization, city)
be base in(organization, community)
be base in(organization, country)
be base in(organization, place)
be base in(organization, state)
be base in(organization, town)
be base in(partner, city)
be base in(partner, place)
be base in(partner, state)
be base in(place, city)
be base in(place, country)
be base in(place, place)
be base in(player, city)
be base in(product, city)
be base in(provider, area)
be base in(provider, city)
be base in(provider, community)
be base in(provider, country)
be base in(provider, place)
be base in(provider, state)
be base in(provider, town)
be base in(service, area)
be base in(service, city)
be base in(service, country)
be base in(service, place)
be base in(site, area)
be base in(site, city)
be base in(site, country)
be base in(site, place)
be base in(site, state)
be base in(source, city)
be base in(source, country)
be base in(system, city)
be base in(tool, city)
be base in(university, city)
be base on(browser, browser)
be base on(browser, engine)
be base on(factor, factor)
be base on(game, game)
be base on(organization, book)
be base on(platform, system)
be base on(system, platform)
be base on(system, system)
be base on(technology, technology)
be be hold in(event, country)
be bear in(agent, city)
be bear in(agent, place)
be bear in(area, city)
be bear in(artist, area)
be bear in(artist, city)
be bear in(artist, country)
be bear in(artist, destination)
be bear in(artist, place)
be bear in(artist, state)
be bear in(artist, town)
be bear in(author, area)
be bear in(author, country)
be bear in(author, state)
be bear in(band, city)
be bear in(book, city)
be bear in(book, state)
be bear in(city, area)
be bear in(city, city)
be bear in(city, place)
be bear in(city, state)
be bear in(city, town)
be bear in(client, city)
be bear in(community, city)
be bear in(community, place)
be bear in(company, city)
be bear in(company, town)
be bear in(consultant, city)
be bear in(crop, country)
be bear in(editor, place)
be bear in(family, city)
be bear in(family, country)
be bear in(family, state)
be bear in(film, city)
be bear in(graduate, area)
be bear in(graduate, city)
be bear in(graduate, country)
be bear in(graduate, place)
be bear in(graduate, state)
be bear in(graduate, town)
be bear in(hotel, city)
be bear in(institution, city)
be bear in(institution, country)
be bear in(leader, area)
be bear in(leader, city)
be bear in(leader, community)
be bear in(leader, country)
be bear in(leader, place)
be bear in(leader, state)
be bear in(leader, town)
be bear in(magazine, country)
be bear in(man, area)
be bear in(man, city)
be bear in(man, country)
be bear in(man, place)
be bear in(man, state)
be bear in(man, town)
be bear in(manufacturer, city)
be bear in(member, area)
be bear in(member, city)
be bear in(member, community)
be bear in(member, country)
be bear in(member, place)
be bear in(member, region)
be bear in(member, state)
be bear in(member, town)
be bear in(organisation, city)
be bear in(partner, city)
be bear in(partner, state)
be bear in(place, city)
be bear in(place, state)
be bear in(place, town)
be bear in(player, area)
be bear in(player, city)
be bear in(player, country)
be bear in(player, place)
be bear in(player, town)
be bear in(school, city)
be bear in(school, place)
be bear in(source, city)
be bear in(sport, country)
be bear in(study, city)
be bear in(team, city)
be bear in(tool, city)
be bear in(town, area)
be bear in(town, city)
be bear in(town, country)
be bear in(town, place)
be bear in(town, state)
be bear in(town, town)
be bear in(university, city)
be bear in(village, city)
be bear in(village, place)
be bear in(work, area)
be bear in(work, city)
be bear in(work, country)
be bear in(writer, area)
be bear in(writer, country)
be bear in(writer, state)
be better than(browser, browser)
be better than(city, city)
be better than(food, food)
be better than(food, product)
be better than(game, game)
be better than(game, sport)
be better than(product, food)
be better than(product, product)
be better than(sport, game)
be better than(sport, sport)
be better than(state, state)
be better than(system, system)
be big on(state, industry)
be birthplace of(city, artist)
be birthplace of(city, food)
be birthplace of(city, state)
be birthplace of(country, activity)
be birthplace of(country, crop)
be birthplace of(country, food)
be birthplace of(country, product)
be birthplace of(country, sport)
be border by(country, country)
be border by(country, member)
be border by(country, place)
be border by(country, state)
be border by(member, country)
be border by(place, country)
be border by(place, state)
be border by(state, area)
be border by(state, city)
be border by(state, country)
be border by(state, place)
be border by(state, state)
be bound by(state, state)
be branch of(area, area)
be branch of(area, field)
be branch of(field, area)
be branch of(field, field)
be break in(time, area)
be break in(time, city)
be bring to(fruit, country)
be build(country, facility)
be build(country, source)
be build(engine, place)
be build(engine, tool)
be build from(browser, browser)
be build on(browser, browser)
be build on(system, system)
be bundle with(state, state)
be bury in(city, state)
be buy(company, company)
be buy by(company, company)
be calculate as(measure, factor)
be call(area, place)
be call(city, city)
be call(city, place)
be call(country, country)
be call(country, member)
be call(device, device)
be call(disease, disease)
be call(disease, infection)
be call(disorder, disorder)
be call(game, game)
be call(game, sport)
be call(herb, herb)
be call(infection, disease)
be call(infection, infection)
be call(place, city)
be call(place, place)
be call(procedure, procedure)
be call(sport, game)
be call(sport, sport)
be call(state, location)
be call(state, place)
be call(time, time)
be capital of(agency, country)
be capital of(area, country)
be capital of(area, place)
be capital of(area, state)
be capital of(center, country)
be capital of(center, place)
be capital of(center, state)
be capital of(city, area)
be capital of(city, city)
be capital of(city, community)
be capital of(city, country)
be capital of(city, destination)
be capital of(city, island)
be capital of(city, leader)
be capital of(city, location)
be capital of(city, member)
be capital of(city, place)
be capital of(city, region)
be capital of(city, state)
be capital of(community, country)
be capital of(community, place)
be capital of(community, state)
be capital of(destination, country)
be capital of(destination, place)
be capital of(destination, state)
be capital of(game, country)
be capital of(hotel, country)
be capital of(hotel, state)
be capital of(location, country)
be capital of(location, place)
be capital of(place, area)
be capital of(place, country)
be capital of(place, destination)
be capital of(place, island)
be capital of(place, place)
be capital of(place, region)
be capital of(place, state)
be capital of(site, country)
be capital of(system, country)
be capital of(town, area)
be capital of(town, country)
be capital of(town, destination)
be capital of(town, island)
be capital of(town, member)
be capital of(town, place)
be capital of(town, region)
be capital of(town, state)
be capital of(village, country)
be capitol of(area, state)
be capitol of(city, country)
be capitol of(city, place)
be capitol of(city, state)
be capitol of(place, country)
be capitol of(town, state)
be carry by(disease, animal)
be cause by(cause, disease)
be cause by(cause, factor)
be cause by(complication, disease)
be cause by(disease, agent)
be cause by(disease, cause)
be cause by(disease, disease)
be cause by(disease, disorder)
be cause by(disease, effect)
be cause by(disease, factor)
be cause by(disease, infection)
be cause by(disease, member)
be cause by(disease, process)
be cause by(disease, protein)
be cause by(disorder, disease)
be cause by(disorder, factor)
be cause by(disorder, process)
be cause by(effect, disease)
be cause by(effect, factor)
be cause by(illness, cause)
be cause by(illness, disease)
be cause by(illness, infection)
be cause by(infection, agent)
be cause by(infection, cause)
be cause by(infection, disease)
be cause by(infection, infection)
be cause by(infection, member)
be cause by(infection, product)
be cause by(risk, disease)
be cause of(disease, disease)
be cause of(factor, disease)
be cede by(city, country)
be cede by(place, country)
be cede to(city, country)
be cede to(island, country)
be cede to(place, country)
be cede to(region, country)
be cede to(state, country)
be celebrate(city, event)
be celebrate(destination, event)
be celebrate(organization, event)
be celebrate(place, event)
be celebrate in(event, city)
be celebrate in(event, country)
be celebrate in(time, city)
be celebrate in(time, country)
be celebrate in(time, place)
be celebrate in(time, time)
be celebrate on(time, time)
be center of(city, country)
be centre of(city, country)
be ceo of(man, company)
be certify by(member, organization)
be change to(city, city)
be characterize by(disease, cause)
be characterize by(disease, complication)
be characterize by(disease, disease)
be characterize by(disease, disorder)
be characterize by(disease, effect)
be characterize by(disease, factor)
be characterize by(disease, process)
be characterize by(disorder, disease)
be characterize by(disorder, disorder)
be characterize by(disorder, effect)
be characterize by(disorder, factor)
be characterize by(illness, effect)
be characterize by(infection, disease)
be characterize by(infection, effect)
be city of(city, area)
be city of(city, country)
be claim by(island, country)
be classify as(disease, disease)
