, base in(agency, city)
, know generically as(medication, inhibitor)
, locate in(agency, area)
, locate in(agency, city)
, locate in(agency, place)
, locate in(area, city)
, locate in(area, place)
, locate in(area, state)
, locate in(association, city)
, locate in(attraction, city)
, locate in(center, city)
, locate in(center, place)
, locate in(city, area)
, locate in(city, country)
, locate in(city, place)
, locate in(city, state)
, locate in(community, city)
, locate in(community, state)
, locate in(company, area)
, locate in(company, city)
, locate in(company, community)
, locate in(company, place)
, locate in(company, state)
, locate in(company, town)
, locate in(country, area)
, locate in(country, city)
, locate in(country, region)
, locate in(employer, city)
, locate in(employer, place)
, locate in(employer, town)
, locate in(facility, city)
, locate in(facility, town)
, locate in(firm, area)
, locate in(firm, city)
, locate in(firm, community)
, locate in(firm, place)
, locate in(firm, state)
, locate in(firm, town)
, locate in(hotel, city)
, locate in(hotel, place)
, locate in(institution, area)
, locate in(institution, city)
, locate in(institution, place)
, locate in(institution, town)
, locate in(leader, city)
, locate in(manufacturer, city)
, locate in(member, area)
, locate in(member, city)
, locate in(member, place)
, locate in(organization, area)
, locate in(organization, city)
, locate in(organization, community)
, locate in(organization, place)
, locate in(organization, state)
, locate in(organization, town)
, locate in(place, area)
, locate in(place, city)
, locate in(place, country)
, locate in(place, place)
, locate in(place, state)
, locate in(provider, city)
, locate in(school, area)
, locate in(school, city)
, locate in(school, community)
, locate in(school, place)
, locate in(school, town)
, locate in(site, country)
, locate in(state, area)
, locate in(state, place)
, locate in(town, state)
, locate in(university, city)
, locate in(university, place)
, locate in(university, town)
, refer to as(disease, disease)
, refer to as(disorder, disease)
, refer to as(infection, infection)
, refer to as(procedure, procedure)
, short for(disease, disease)
, similar to(disease, disease)
, similar to(drug, drug)
: know as(disease, disease)
: know as(herb, herb)
_ bear in(artist, country)
_ know as(disease, disease)
_ know as(drug, drug)
_ know as(procedure, procedure)
__ know as(disease, disease)
base in(organization, country)
be a district of(area, city)
be a member of(member, organization)
be a part of(place, country)
be a part of(product, book)
be a part of(product, member)
be a part of(state, country)
be a part of(state, state)
be a source of(herb, nutrient)
be a source of(herb, vitamin)
be another form of(disease, disease)
be another form of(state, state)
be base at(acid, building)
be base in(agency, city)
be base in(agency, place)
be base in(application, city)
be base in(artist, city)
be base in(association, city)
be base in(band, country)
be base in(body, city)
be base in(business, city)
be base in(center, city)
be base in(client, city)
be base in(community, city)
be base in(company, area)
be base in(company, center)
be base in(company, city)
be base in(company, community)
be base in(company, country)
be base in(company, destination)
be base in(company, location)
be base in(company, place)
be base in(company, state)
be base in(company, town)
be base in(company, university)
be base in(company, village)
be base in(corporation, area)
be base in(corporation, city)
be base in(corporation, place)
be base in(directory, city)
be base in(distributor, city)
be base in(division, city)
be base in(drug, country)
be base in(employer, city)
be base in(engine, city)
be base in(engine, place)
be base in(engine, state)
be base in(firm, area)
be base in(firm, city)
be base in(firm, country)
be base in(firm, place)
be base in(firm, state)
be base in(firm, town)
be base in(game, city)
be base in(graduate, city)
be base in(institution, city)
be base in(leader, area)
be base in(leader, city)
be base in(leader, community)
be base in(leader, country)
be base in(leader, place)
be base in(leader, state)
be base in(leader, town)
be base in(magazine, city)
be base in(manufacturer, area)
be base in(manufacturer, city)
be base in(manufacturer, community)
be base in(manufacturer, country)
be base in(manufacturer, place)
be base in(manufacturer, state)
be base in(manufacturer, town)
be base in(member, area)
be base in(member, city)
be base in(member, country)
be base in(member, place)
be base in(member, state)
be base in(member, town)
be base in(organisation, city)
be base in(organisation, country)
be base in(organisation, place)
be base in(organization, area)
be base in(organization, city)
be base in(organization, community)
be base in(organization, country)
be base in(organization, place)
be base in(organization, state)
be base in(organization, town)
be base in(partner, city)
be base in(partner, place)
be base in(partner, state)
be base in(place, city)
be base in(place, country)
be base in(place, place)
be base in(player, city)
be base in(product, city)
be base in(project, city)
be base in(provider, area)
be base in(provider, city)
be base in(provider, community)
be base in(provider, country)
be base in(provider, place)
be base in(provider, state)
be base in(provider, town)
be base in(service, area)
be base in(service, city)
be base in(service, country)
be base in(service, place)
be base in(site, area)
be base in(site, city)
be base in(site, country)
be base in(site, place)
be base in(site, state)
be base in(source, city)
be base in(source, country)
be base in(store, city)
be base in(store, country)
be base in(store, state)
be base in(subsidiary, city)
be base in(subsidiary, state)
be base in(supplier, city)
be base in(supplier, state)
be base in(system, city)
be base in(tool, city)
be base in(university, city)
be base in(web site, city)
be base in(writer, city)
be base on(browser, browser)
be base on(browser, engine)
be base on(factor, factor)
be base on(game, game)
be base on(organization, book)
be base on(platform, platform)
be base on(platform, system)
be base on(system, platform)
be base on(system, system)
be base on(technology, technology)
be be hold in(event, country)
be bear at(artist, site)
be bear at(writer, city)
be bear in(agent, city)
be bear in(agent, place)
be bear in(area, city)
be bear in(artist, area)
be bear in(artist, center)
be bear in(artist, city)
be bear in(artist, community)
be bear in(artist, country)
be bear in(artist, destination)
be bear in(artist, island)
be bear in(artist, location)
be bear in(artist, place)
be bear in(artist, region)
be bear in(artist, state)
be bear in(artist, town)
be bear in(artist, village)
be bear in(author, area)
be bear in(author, center)
be bear in(author, city)
be bear in(author, community)
be bear in(author, country)
be bear in(author, destination)
be bear in(author, location)
be bear in(author, place)
be bear in(author, state)
be bear in(author, town)
be bear in(author, village)
be bear in(award, city)
be bear in(band, city)
be bear in(book, city)
be bear in(book, state)
be bear in(business, city)
be bear in(city, area)
be bear in(city, city)
be bear in(city, place)
be bear in(city, state)
be bear in(city, town)
be bear in(client, city)
be bear in(community, city)
be bear in(community, place)
be bear in(company, city)
be bear in(company, town)
be bear in(consultant, city)
be bear in(consultant, country)
be bear in(consultant, place)
be bear in(consultant, state)
be bear in(consultant, town)
be bear in(crop, country)
be bear in(director, area)
be bear in(director, city)
be bear in(director, country)
be bear in(director, place)
be bear in(director, state)
be bear in(director, town)
be bear in(editor, city)
be bear in(editor, place)
be bear in(editor, state)
be bear in(effort, city)
be bear in(expert, area)
be bear in(expert, city)
be bear in(expert, country)
be bear in(expert, place)
be bear in(expert, state)
be bear in(expert, town)
be bear in(family, city)
be bear in(family, country)
be bear in(family, state)
be bear in(field, city)
be bear in(film, city)
be bear in(firm, city)
be bear in(graduate, area)
be bear in(graduate, city)
be bear in(graduate, community)
be bear in(graduate, country)
be bear in(graduate, place)
be bear in(graduate, state)
be bear in(graduate, town)
be bear in(guide, city)
be bear in(hotel, city)
be bear in(institution, city)
be bear in(institution, country)
be bear in(leader, area)
be bear in(leader, city)
be bear in(leader, community)
be bear in(leader, country)
be bear in(leader, place)
be bear in(leader, state)
be bear in(leader, town)
be bear in(library, city)
be bear in(magazine, country)
be bear in(man, area)
be bear in(man, city)
be bear in(man, community)
be bear in(man, country)
be bear in(man, destination)
be bear in(man, place)
be bear in(man, state)
be bear in(man, town)
be bear in(man, village)
be bear in(manager, city)
be bear in(manufacturer, city)
be bear in(member, area)
be bear in(member, center)
be bear in(member, city)
be bear in(member, community)
be bear in(member, country)
be bear in(member, destination)
be bear in(member, island)
be bear in(member, location)
be bear in(member, place)
be bear in(member, region)
be bear in(member, state)
be bear in(member, town)
be bear in(member, village)
be bear in(organisation, city)
be bear in(partner, city)
be bear in(partner, state)
be bear in(piece, city)
be bear in(place, city)
be bear in(place, state)
be bear in(place, town)
be bear in(platform, city)
be bear in(player, area)
be bear in(player, city)
be bear in(player, country)
be bear in(player, place)
be bear in(player, state)
be bear in(player, town)
be bear in(professor, area)
be bear in(professor, city)
be bear in(professor, community)
be bear in(professor, country)
be bear in(professor, place)
be bear in(professor, state)
be bear in(professor, town)
be bear in(project, city)
be bear in(school, city)
be bear in(school, place)
be bear in(source, city)
be bear in(speaker, area)
be bear in(speaker, city)
be bear in(speaker, country)
be bear in(speaker, place)
be bear in(speaker, state)
be bear in(speaker, town)
be bear in(specialist, city)
be bear in(specialist, country)
be bear in(specialist, place)
be bear in(specialist, state)
be bear in(sport, country)
be bear in(student, area)
be bear in(student, city)
be bear in(student, country)
be bear in(student, place)
be bear in(student, state)
be bear in(student, town)
be bear in(study, city)
be bear in(teacher, area)
be bear in(teacher, city)
be bear in(teacher, country)
be bear in(teacher, place)
be bear in(teacher, state)
be bear in(teacher, town)
be bear in(team, city)
be bear in(team, time)
be bear in(tool, city)
be bear in(town, area)
be bear in(town, city)
be bear in(town, country)
be bear in(town, place)
be bear in(town, state)
be bear in(town, town)
be bear in(university, city)
be bear in(village, city)
be bear in(village, place)
be bear in(work, area)
be bear in(work, city)
be bear in(work, community)
be bear in(work, country)
be bear in(work, destination)
be bear in(work, place)
be bear in(work, state)
be bear in(work, town)
be bear in(writer, area)
be bear in(writer, center)
be bear in(writer, city)
be bear in(writer, community)
be bear in(writer, country)
be bear in(writer, destination)
be bear in(writer, island)
be bear in(writer, location)
be bear in(writer, place)
be bear in(writer, region)
be bear in(writer, school)
be bear in(writer, state)
be bear in(writer, town)
be bear in(writer, university)
be bear in(writer, village)
be call(area, place)
be call(city, city)
be call(city, place)
be call(country, country)
be call(country, member)
be call(device, device)
be call(disease, disease)
be call(disease, infection)
be call(disorder, disorder)
be call(game, game)
be call(game, sport)
be call(herb, herb)
be call(infection, disease)
be call(infection, infection)
be call(place, city)
be call(place, place)
be call(procedure, procedure)
be call(sport, game)
be call(sport, sport)
be call(state, location)
be call(state, place)
be call(time, time)
be capital of(agency, country)
be capital of(area, country)
be capital of(area, place)
be capital of(area, state)
be capital of(center, country)
be capital of(center, place)
be capital of(center, state)
be capital of(city, area)
be capital of(city, city)
be capital of(city, community)
be capital of(city, country)
be capital of(city, destination)
be capital of(city, island)
be capital of(city, leader)
be capital of(city, location)
be capital of(city, member)
be capital of(city, place)
be capital of(city, region)
be capital of(city, state)
be capital of(community, country)
be capital of(community, place)
be capital of(community, state)
be capital of(destination, country)
be capital of(destination, place)
be capital of(destination, state)
be capital of(game, country)
be capital of(hotel, country)
be capital of(hotel, state)
be capital of(house, country)
be capital of(library, country)
be capital of(location, country)
be capital of(location, place)
be capital of(place, area)
be capital of(place, country)
be capital of(place, destination)
be capital of(place, island)
be capital of(place, place)
be capital of(place, region)
be capital of(place, state)
be capital of(site, country)
be capital of(system, country)
be capital of(town, area)
be capital of(town, country)
be capital of(town, destination)
be capital of(town, island)
be capital of(town, member)
be capital of(town, place)
be capital of(town, region)
be capital of(town, state)
be capital of(village, country)
be capitol of(area, state)
be capitol of(city, country)
be capitol of(city, place)
be capitol of(city, state)
be capitol of(place, country)
be capitol of(town, state)
be center of(city, country)
be centre of(city, country)
be city of(city, area)
be city of(city, country)
be define as(disease, disease)
be define as(disease, effect)
be define as(disease, factor)
be define as(disease, measure)
be define as(disorder, effect)
be define as(factor, factor)
be define as(factor, measure)
be define as(measure, measure)
be develop(company, drug)
be develop by(drug, company)
be develop by(technology, company)
be develop in(art, country)
be develop in(crop, country)
be develop in(industry, area)
be develop in(industry, country)
be develop in(industry, region)
be develop in(material, country)
be develop in(product, country)
be develop in(source, country)
be develop in(sport, country)
be develop in(system, country)
be develop in(therapy, country)
be develop in(treatment, country)
be do in(agency, country)
be do in(company, country)
be do in(country, country)
be do in(country, place)
be do in(country, region)
be do in(country, state)
be do in(engine, country)
be do in(leader, country)
be do in(man, country)
be do in(organization, country)
be do in(place, country)
be find in(acid, acid)
be find in(acid, crop)
be find in(acid, fish)
be find in(acid, food)
be find in(acid, fruit)
be find in(acid, ingredient)
be find in(acid, plant)
be find in(acid, product)
be find in(acid, source)
be find in(acid, vegetable)
be find in(agent, food)
be find in(agent, product)
be find in(animal, area)
be find in(animal, country)
be find in(animal, place)
be find in(animal, region)
be find in(bird, country)
be find in(bird, place)
be find in(bird, state)
be find in(body, organ)
be find in(chemical, food)
be find in(chemical, product)
be find in(chemical, source)
be find in(disease, animal)
be find in(disease, area)
be find in(disease, country)
be find in(disease, destination)
be find in(disease, place)
be find in(disease, region)
be find in(disease, state)
be find in(drug, crop)
be find in(drug, food)
be find in(drug, product)
be find in(drug, source)
be find in(factor, food)
be find in(factor, product)
be find in(fish, country)
be find in(herb, country)
be find in(herb, state)
be find in(hormone, food)
be find in(hormone, product)
be find in(infection, animal)
be find in(infection, country)
be find in(ingredient, food)
be find in(ingredient, product)
be find in(material, country)
be find in(material, material)
be find in(member, country)
be find in(member, crop)
be find in(member, food)
be find in(member, organ)
be find in(member, source)
be find in(member, vegetable)
be find in(metal, food)
be find in(metal, fruit)
be find in(metal, material)
be find in(metal, organ)
be find in(metal, product)
be find in(metal, source)
be find in(mineral, country)
be find in(mineral, crop)
be find in(mineral, food)
be find in(mineral, fruit)
be find in(mineral, hormone)
be find in(mineral, ingredient)
be find in(mineral, material)
be find in(mineral, organ)
be find in(mineral, place)
be find in(mineral, plant)
be find in(mineral, product)
be find in(mineral, protein)
be find in(mineral, solution)
be find in(mineral, source)
be find in(mineral, vegetable)
be find in(nutrient, crop)
be find in(nutrient, food)
be find in(nutrient, fruit)
be find in(nutrient, ingredient)
be find in(nutrient, organ)
be find in(nutrient, plant)
be find in(nutrient, product)
be find in(nutrient, protein)
be find in(nutrient, source)
be find in(nutrient, vegetable)
be find in(plant, area)
be find in(plant, country)
be find in(plant, place)
be find in(plant, state)
be find in(product, food)
be find in(product, source)
be find in(protein, crop)
be find in(protein, food)
be find in(protein, ingredient)
be find in(protein, plant)
be find in(protein, product)
be find in(protein, source)
be find in(source, crop)
be find in(source, food)
be find in(source, fruit)
be find in(source, product)
be find in(source, source)
be find in(source, vegetable)
be find in(substance, crop)
be find in(substance, food)
be find in(substance, fruit)
be find in(substance, ingredient)
be find in(substance, material)
be find in(substance, product)
be find in(substance, protein)
be find in(substance, source)
be find in(substance, substance)
be find in(substance, vegetable)
be find in(tree, country)
be find in(tree, state)
be find in(vitamin, crop)
be find in(vitamin, food)
be find in(vitamin, fruit)
be find in(vitamin, ingredient)
be find in(vitamin, organ)
be find in(vitamin, plant)
be find in(vitamin, product)
be find in(vitamin, protein)
be find in(vitamin, source)
be find in(vitamin, vegetable)
be found in(company, city)
be found in(company, place)
be found in(institution, area)
be found in(institution, city)
be found in(leader, city)
be found in(manufacturer, city)
be found in(member, city)
be found in(organization, area)
be found in(organization, city)
be found in(organization, country)
be found in(organization, place)
be found in(organization, state)
be found in(organization, time)
be found in(organization, town)
be found in(provider, city)
be grow in(crop, area)
be grow in(crop, country)
be grow in(crop, place)
be grow in(crop, region)
be grow in(crop, state)
be grow in(food, country)
be grow in(food, place)
be grow in(food, state)
be grow in(fruit, country)
be grow in(fruit, place)
be grow in(fruit, state)
be grow in(herb, area)
be grow in(herb, country)
be grow in(herb, place)
be grow in(herb, region)
be grow in(herb, state)
be grow in(ingredient, country)
be grow in(member, country)
be grow in(plant, area)
be grow in(plant, country)
be grow in(plant, place)
be grow in(plant, region)
be grow in(plant, state)
be grow in(product, country)
be grow in(product, state)
be grow in(source, country)
be grow in(source, state)
be grow in(sport, country)
be grow in(tree, country)
be grow in(vegetable, country)
be grow in(vegetable, place)
be grow in(vegetable, state)
be headquarter in(agency, area)
be headquarter in(agency, city)
be headquarter in(agency, place)
be headquarter in(application, city)
be headquarter in(area, city)
be headquarter in(association, city)
be headquarter in(bird, city)
be headquarter in(body, city)
be headquarter in(business, city)
be headquarter in(center, city)
be headquarter in(city, city)
be headquarter in(client, city)
be headquarter in(community, city)
be headquarter in(company, area)
be headquarter in(company, center)
be headquarter in(company, city)
be headquarter in(company, community)
be headquarter in(company, country)
be headquarter in(company, destination)
be headquarter in(company, hotel)
be headquarter in(company, location)
be headquarter in(company, member)
be headquarter in(company, place)
be headquarter in(company, state)
be headquarter in(company, town)
be headquarter in(company, university)
be headquarter in(company, village)
be headquarter in(corporation, area)
be headquarter in(corporation, city)
be headquarter in(corporation, community)
be headquarter in(corporation, place)
be headquarter in(corporation, state)
be headquarter in(country, city)
be headquarter in(disease, city)
be headquarter in(distributor, city)
be headquarter in(division, city)
be headquarter in(division, state)
be headquarter in(employer, area)
be headquarter in(employer, city)
be headquarter in(employer, community)
be headquarter in(employer, place)
be headquarter in(employer, state)
be headquarter in(engine, city)
be headquarter in(firm, area)
be headquarter in(firm, city)
be headquarter in(firm, community)
be headquarter in(firm, place)
be headquarter in(firm, state)
be headquarter in(firm, town)
be headquarter in(game, city)
be headquarter in(inhibitor, city)
be headquarter in(institution, city)
be headquarter in(leader, area)
be headquarter in(leader, city)
be headquarter in(leader, community)
be headquarter in(leader, country)
be headquarter in(leader, place)
be headquarter in(leader, state)
be headquarter in(leader, town)
be headquarter in(leader, university)
be headquarter in(library, city)
be headquarter in(library, town)
be headquarter in(manufacturer, area)
be headquarter in(manufacturer, city)
be headquarter in(manufacturer, community)
be headquarter in(manufacturer, place)
be headquarter in(manufacturer, state)
be headquarter in(manufacturer, town)
be headquarter in(member, area)
be headquarter in(member, city)
be headquarter in(member, community)
be headquarter in(member, place)
be headquarter in(member, state)
be headquarter in(member, town)
be headquarter in(organisation, city)
be headquarter in(organization, area)
be headquarter in(organization, center)
be headquarter in(organization, city)
be headquarter in(organization, community)
be headquarter in(organization, country)
be headquarter in(organization, location)
be headquarter in(organization, place)
be headquarter in(organization, state)
be headquarter in(organization, town)
be headquarter in(organization, village)
be headquarter in(partner, area)
be headquarter in(partner, city)
be headquarter in(partner, community)
be headquarter in(partner, country)
be headquarter in(partner, place)
be headquarter in(place, city)
be headquarter in(player, city)
be headquarter in(product, city)
be headquarter in(project, city)
be headquarter in(provider, area)
be headquarter in(provider, city)
be headquarter in(provider, community)
be headquarter in(provider, country)
be headquarter in(provider, destination)
be headquarter in(provider, location)
be headquarter in(provider, place)
be headquarter in(provider, state)
be headquarter in(provider, town)
be headquarter in(service, area)
be headquarter in(service, city)
be headquarter in(service, place)
be headquarter in(service, state)
be headquarter in(site, city)
be headquarter in(site, place)
be headquarter in(solution, city)
be headquarter in(source, city)
be headquarter in(specialist, city)
be headquarter in(specialist, country)
be headquarter in(store, city)
be headquarter in(subsidiary, city)
be headquarter in(supplier, area)
be headquarter in(supplier, city)
be headquarter in(supplier, community)
be headquarter in(supplier, country)
be headquarter in(supplier, place)
be headquarter in(supplier, state)
be headquarter in(supplier, town)
be headquarter in(system, area)
be headquarter in(system, city)
be headquarter in(system, community)
be headquarter in(system, place)
be headquarter in(technology, city)
be headquarter in(tool, area)
be headquarter in(tool, city)
be headquarter in(tool, place)
be headquarter in(utility, city)
be heart of(city, country)
be heart of(city, state)
be heart of(place, city)
be heart of(place, country)
be heart of(region, country)
be high in(crop, acid)
be high in(crop, mineral)
be high in(crop, nutrient)
be high in(crop, source)
be high in(crop, vitamin)
be high in(factor, country)
be high in(food, acid)
be high in(food, factor)
be high in(food, metal)
be high in(food, mineral)
be high in(food, nutrient)
be high in(food, source)
be high in(food, substance)
be high in(food, vitamin)
be high in(fruit, mineral)
be high in(fruit, nutrient)
be high in(fruit, source)
be high in(fruit, substance)
be high in(fruit, vitamin)
be high in(herb, mineral)
be high in(herb, nutrient)
be high in(herb, source)
be high in(herb, substance)
be high in(herb, vitamin)
be high in(ingredient, acid)
be high in(ingredient, mineral)
be high in(ingredient, nutrient)
be high in(ingredient, vitamin)
be high in(material, nutrient)
be high in(plant, mineral)
be high in(plant, nutrient)
be high in(plant, source)
be high in(plant, vitamin)
be high in(product, acid)
be high in(product, mineral)
be high in(product, nutrient)
be high in(product, substance)
be high in(product, vitamin)
be high in(protein, acid)
be high in(source, acid)
be high in(source, factor)
be high in(source, metal)
be high in(source, mineral)
be high in(source, nutrient)
be high in(source, source)
be high in(source, substance)
be high in(source, vitamin)
be high in(vegetable, metal)
be high in(vegetable, mineral)
be high in(vegetable, nutrient)
be high in(vegetable, source)
be high in(vegetable, substance)
be high in(vegetable, vitamin)
be hold(event, time)
be hold(service, time)
be hold in(activity, city)
be hold in(activity, time)
be hold in(event, area)
be hold in(event, city)
be hold in(event, country)
be hold in(event, destination)
be hold in(event, place)
be hold in(event, state)
be hold in(event, time)
be hold in(event, town)
be hold in(game, city)
be hold in(organization, city)
be hold in(service, city)
be hold in(site, city)
be hold in(sport, city)
be hold in(time, time)
be hold on(event, time)
be home of(city, attraction)
be home of(city, award)
be home of(city, company)
be home of(city, employer)
be home of(city, event)
be home of(city, institution)
be home of(city, member)
be home of(city, organization)
be home of(city, place)
be home of(city, university)
be home of(country, sport)
be home of(place, company)
be home of(place, institution)
be home of(town, employer)
be home of(town, institution)
be home of(town, university)
be host(city, event)
be host(country, event)
be hub of(city, country)
be incorporate in(city, country)
be incorporate in(company, state)
be incorporate in(employer, state)
be incorporate in(organization, city)
be incorporate in(organization, state)
be incorporate in(town, country)
be know as(agency, agency)
be know as(city, blend)
be know as(city, city)
be know as(city, member)
be know as(city, place)
be know as(city, town)
be know as(company, company)
be know as(country, country)
be know as(country, organization)
be know as(country, region)
be know as(crop, crop)
be know as(destination, city)
be know as(directory, directory)
be know as(disease, development)
be know as(disease, disease)
be know as(disease, disorder)
be know as(disease, factor)
be know as(disease, illness)
be know as(disease, infection)
be know as(disease, process)
be know as(disorder, disease)
be know as(disorder, disorder)
be know as(disorder, illness)
be know as(drug, drug)
be know as(drug, medication)
be know as(fish, fish)
be know as(fruit, fruit)
be know as(game, game)
be know as(herb, herb)
be know as(herb, ingredient)
be know as(herb, member)
be know as(herb, plant)
be know as(hormone, hormone)
be know as(illness, disease)
be know as(illness, disorder)
be know as(illness, illness)
be know as(illness, infection)
be know as(infection, disease)
be know as(infection, illness)
be know as(infection, infection)
be know as(ingredient, herb)
be know as(medication, drug)
be know as(nutrient, vitamin)
be know as(place, city)
be know as(place, place)
be know as(plant, herb)
be know as(plant, plant)
be know as(procedure, procedure)
be know as(source, source)
be know as(sport, game)
be know as(sport, sport)
be know as(state, blend)
be know as(state, company)
be know as(state, destination)
be know as(state, leader)
be know as(state, location)
be know as(state, place)
be know as(time, event)
be know as(time, time)
be know as(treatment, procedure)
be know as(treatment, treatment)
be know as(tree, tree)
be know as(vegetable, vegetable)
be know as(vitamin, nutrient)
be know as(vitamin, substance)
be know as(vitamin, vitamin)
be locate in(area, area)
be locate in(area, city)
be locate in(area, community)
be locate in(area, country)
be locate in(area, destination)
be locate in(area, employer)
be locate in(area, location)
be locate in(area, place)
be locate in(area, region)
be locate in(area, state)
be locate in(area, town)
be locate in(association, city)
be locate in(attraction, area)
be locate in(attraction, city)
be locate in(attraction, community)
be locate in(attraction, country)
be locate in(attraction, place)
be locate in(attraction, state)
be locate in(attraction, town)
be locate in(body, area)
be locate in(building, city)
be locate in(building, place)
be locate in(business, city)
be locate in(business, state)
be locate in(center, area)
be locate in(center, city)
be locate in(center, community)
be locate in(center, country)
be locate in(center, place)
be locate in(center, state)
be locate in(center, town)
